UA,品牌,型号
Onefive M1,,
HHT6D,,
Lenovo TB3-X70N,,
Hisense E71-M,,
OUJIA 2018-S10MAX,,
VIDO-M9i,,
LG-V500,,
lephone W2,,
SM-A710S,三星,GALAXY A7
Onefive S8,,
M531,,
SOP-N7,,
MBI i7,,
NOAIN X7,,
C311,,
N888,,
HTC D816d,,
SHV-E300K,,
D2302,,
Coolpad 9190_T00,,
TW168,,
S110,,
DESAY D18,,
MT2L03,,
D2,,
MUTUCU  M8,,
ChanghongS18,,
jimei,,
SUBOR_R10++,,
ASUS_Z01FD,,
nx16afcl,,
G8232,,
2018,,
LG-H872,,
HBS,,
Ai X5,,
LG-V400,,
HUAWEI G6-T00,,
CPH1823,,
ChanghongA600,,
Lenovo Z2w,,
GM-T9 ,,
IM-A860S,,
SM705,,
Nokia 8 Sirocco,诺基亚,8 Sirocco
M95,,
F8909,,
EVR-L29,,
TCL V760,,
MI9 SE BROWN EDITION,小米,9 SE
SM-T235,三星,GALAXY Tab 4 7.0
Venue 7 3730,,
Onefive T2,,
I7PC,,
MRD-TL00,,
T500,,
Lenovo A318t,,
Amazon Tate,,
M535,,
Mate 10,,
V23,,
KT10,,
WAS-LX2J,,
20181225,,
Lenovo A5500-HV,,
Lenovo S856,,
motorola one power,,
P52,,
ET 600,,
ViVK X20S,,
ZTE A2016,,
SPH-L720T,,
MIYU 8X Plus,,
EWG XS Max,,
CPN-L09,,
koobee S103,,
G808 3G Oc,,
angelcare Q5,,
OUJIA S20,,
FYT6025,,
S156,,
Lenovo K900,,
KING 7,,
SM-J510FN,三星,GALAXY J5
TCL P301M,,
YD206,,
Q999,,
ZTE G720C,,
UOOGOU_T3,,
Lenovo K30-TM,,
E910 Plus,,
OX2,,
HS-X8T,,
R2010,,
SM-J727S,三星,GALAXY Wide 2
3000,,
GOME 2016G68A,,
LG-H930,,
LA6-L,,
EzzU E9,,
COMIO A10,,
s9863a3h10_go_32b_Natv,,
SUGAR C21,SYGAR,C21
MIWANG M2,,
InFocus M530,,
V5,,
HONOR H30-L01M,,
SM-A920N,三星,GALAXY A9
ASUS_Z00AD,,
DS2016,,
CAM-L32,,
Lenovo B6000-H,,
SM-P605,三星,GALAXY Note 10.1
HS-E968,,
G4,,
LG-F200L,,
H80,,
SM-A505F,三星,GALAXY A50
vernee_M5,,
S8+,,
HDTGXSW,,
A25S,,
S6000,,
SCH-i809,,
GT-N5120,,
N2,,
MI 9 ROY,小米,9 ROY
ZUG_5S_Q,,
LGM-V300K,,
GT-P3100,,
N5110,,
XT1077,,
TETC-F7,,
lephone C7,,
BBA100-2,,
TAG-TL00,,
Hisense E625T,,
Best_sonny_LT556,,
TCL-P306C,,
88 Tauri,,
TECNO CF7,,
YUEQEE-W012,,
SM-A920F,三星,GALAXY A9
V33,,
W180,,
LG-D958,,
Coolpad K1-NT,,
Z2 Plus,,
XT885,,
ASUS_X018D,,
WISE-BM206-TFANBTR,,
N4,,
A200,,
Philips S616,,
Haier HL-6380T,,
ASUS_X00DDA,,
FS8002,,
GOLY X7,,
HUAWEI C8815,,
Z97-W,,
Readboy_G50,,
lephone T6 ,,
SM-G3558,三星,GALAXY Core 2
SM-J100F,三星,GALAXY J1
HM 1SLTETD,,
1873-A0,,
V100,,
ax6753_66_sh_n,,
K-Touch X15,,
Lenovo A889,,
evb3561sv_t_63_m0,,
T11,,
8085,,
D2533,,
LG-H962,,
F6,,
SM-C710F,三星,GALAXY J7 Plus
TCL-P688L,,
SHV42,,
Q10,,
C880,,
HTC One M9PLUS,,
T5511,,
MOLOO_M6,,
MSM8976,,
LA-V11,,
SM-A520S,三星,GALAXY A5
Philips S310X,,
Xshitou P7,,
E9003-4G+,,
Lenovo A936,,
V8S,,
SM-A600N,三星,GALAXY A6
T805C,,
CYM1-C3,,
TUOTIAN5,,
HTC_One_max,,
Lenovo S8-50LC,,
P7,,
QUY Q1s,,
K-Touch T87+,,
Bird L600,,
HTC E9t,,
SP9832A,,
T961,,
D6603,,
EBEN 80001,,
CM CM1,,
HTC_D820f,,
TW18,,
SM-A310F,三星,GALAXY A3
lephone T23,,
Lenovo A3600-d,,
Ramos,,
TETC-F6,,
TA-1032,,
ZTE S2002,,
Y23,,
SM-T110,三星,GALAXY Tab 3 Lite
GT-S7568,,
AOSP on fp365B,,
YOGA Tablet 2-830F,,
BLN-L21,,
HUAWEI G730-U00,,
ivvi F2C,,
HOTMIAO-I15,,
SM-A910F,三星,GALAXY A9 Pro
M6 MINI,,
SM-T211,三星,GALAXY Tab 3 7.0
KONKA R8,,
GT-I8530,,
S 1,,
HLTE100M,,
BOWAY A5 Pro,,
laaboo V5,,
20160103,,
MAX,,
HL2001,,
LA2-L,,
X12,,
MZ85,,
SM-G925K,三星,GALAXY S6 Edge
S-2015,,
L55u,,
ME860,,
A28,,
nubia,,
POT-LX2J,,
Student Tablet,,
BLL-L21,,
Coolpad 8017-T00,,
D10S,,
ChanghongS01,,
P100,,
MI 4,小米,4
UPAD_3_Plus,,
ZUG 5S Q,,
H101,,
SM-G3502C,三星,GALAXY Trend 3
SM-J701M,三星,GALAXY J7
R815T,,
PRO7Plus,,
D600,,
SINTAVE S2,,
BBB100-5,,
ysl,,
U PULSE LITE,,
AT100,,
A101,,
HOPE-M8,,
LG-H873,,
L39t,,
BLA-A09,,
V15-X,,
NUOFEI F6,,
SGP321,,
GF-2,,
MediaPad 10 Link+,,
NOAIN F2016,,
Moto G (5) Plus,,
Coolpad 8297-C00,,
Galaxy Series 6S,,
ET 100,,
Ant one,,
GN9005,,
MIWANG M2s,,
Compaq 7,,
Lenovo TAB 2 A10-70F,,
Coolpad 8029,,
BF_T20,,
CPH1969,,
A910(电信),,
MiBOX1S,小米,MIBOX1S
YUEQEE-Q3,,
SM-G930S,三星,GALAXY S7
KOOMII-K9,,
SM-N916L,三星,GALAXY Note 4 S-LTE
LM-G710,,
HTC_M8x,,
AGM H1,,
Mi A1,小米,A1
ASUS_Z00LD,,
NF,,
MON-AL19B,,
HTC 8060,,
SM-P350,三星,GALAXY Tab A
HUAWEI Y300C,,
SM-G800F,三星,GALAXY S5 Mini
Coolpad 7605,,
UNC-A1,,
Q03Note,,
Onefive C5,,
Coolpad7295,,
MAX3,,
Coolpad 9970,,
TCL P728M,,
Lingwin 6,,
DRA-LX5,,
X10.RK3126,,
VPad A107,,
lephone T9+,,
SGP541,,
TETC-F7 Plus,,
S11,,
Lenovo A628t,,
R17S,,
E601M,,
BTEA,,
GO T2,,
F5180,,
8676_M01,,
C108,,
E Jia Qin,,
GT-S7562,,
SM-G3502U,三星,GALAXY Trend 3
G78,,
BIRD L108,,
SM-A730F,三星,GALAXY A8
X18-A,,
U680D,,
X18,,
JKM-LX2,,
GT-I9228,,
SM-G955U1,三星,GALAXY A8+
KINGSUN-F22,,
T950,,
Coolpad 8707,,
KT-101,,
SM-G3586V,三星,GALAXY Core Lite
SM-J5007,三星,GALAXY J5
ivvi V3-T,,
ASUS_X00GD,,
U100   HY,,
KT101-B,,
SCH-I879,,
ZTE G718C,,
V1900,,
LG-F340L,,
U28,,
GO 55303,,
XT1033,,
SM-G925T,三星,GALAXY S6 Edge
4G_volte,,
M4 MINI,,
lingying A8,,
SM-G920K,三星,GALAXY S6
GT-P6200,,
HJX,,
A8,,
SHW-M500W,,
VOTO GT2++,,
KINGTOWN,,
R8109,,
A10H(D5W7),,
DIM M6,,
XM-T,,
Redmi Note 6 Pro,小米,红米Note 6 Pro
HY-002,,
LM-X510K,,
E70,,
BF_K11,,
610,,
R18,,
SM-E700H,三星,GALAXY E7
SM-A605G,三星,GALAXY A6 Plus
KONKA 907,,
GT-I9305,,
NJ_215,,
Lenovo A766,,
X2 SE,,
ChanghongS09X,,
Kurio10S,,
U9180,,
DM98,,
ZTE G719C,,
Laaboo V11,,
SM701,,
ZTE B2016,,
NOAIN X3,,
HMI_A5,,
X506-3G,,
WP_V1,,
SM-T210,三星,GALAXY Tab 3 7.0
CPH1723,,
HTC U12+,,
M20 4G(M3K4),,
Hol-U10,,
SGP312,,
OUKI P7,,
SM-T380C,三星,GALAXY Tab A
VOGA V1,,
DIM 8S,,
L823,,
D6633,,
V973 Core4,,
FRD-TL00,,
SM-T813,三星,GALAXY Tab S2
ZE620KL,,
HY H1,,
Hisense C1,,
ET 500,,
HUAWEI C8813D,,
VOTO GT18,,
XD8166,,
Lenovo A7600,,
98(M1E5),,
SM-T385C,三星,GALAXY Tab A
Q1,,
LM-Q710(FGN),,
BF K12,,
M503,,
404SC,,
SM-J330G,三星,GALAXY J3 Pro
ST18i,,
SOP-N10,,
7plus,,
KONKA L550,,
GT-N8020,,
l9155,,
K-Touch 8848,,
NOAIN-M8,,
Coolpad 8122,,
LG-F520K,,
E960,,
HC7,,
G115,,
R811,,
UnisCom-3G,,
Coolpad7251,,
Coolpad 5891Q,,
JXD-T53,,
KT-101A,,
VIE-L09,,
SM-T285YD,三星,GALAXY Tab J 7.0
ThL W2,,
GT-I8190,,
ASUS_Z01KDA,,
Ramos R10,,
NOAIN X19,,
HUAGAN HT9,,
F960,,
T8(E8C1),,
ChanghongC01,,
aoson T7,,
C50,,
Coolpad 7295C_C00,,
K8,,
SM-G7102,三星,GALAXY Grand 2
BIHEE A8+,,
P9S,,
R813T,,
GT-I9308,,
OPPOU701,OPPO,U701
E910III,,
JKM-LX1,,
ONDA MID,,
HS-EG971,,
hi6250,,
PHILIPS S226M,,
Lenovo YT3-X50M,,
LGT31,,
U705T,,
NOAIN K6,,
XT912,,
Huawei HUAWEI G750-T00,,
MKTEL M8,,
Nokia_XL,诺基亚,XL
koobee S509,,
BOWAY L5,,
SM-G965W,三星,GALAXY S9 Plus
Best sonny Q10,,
WP V2,,
Q888,,
Philips X586,,
msm8909,,
GO 55013,,
SM-A750N,三星,GALAXY A7
E72,,
GOME 2017X82A,,
lephone T10A,,
lephone T708H,,
LG-M400,,
P01,,
W666,,
N1001,,
FLA-AL00,,
HUAWEI T8951,,
P1 M,,
MediaPad 10 FHD,,
A17,,
SMMX8H3G,,
LD-100,,
Bird L608,,
Anica i8,,
KX20,,
WP_V3,,
A59st,,
R7sm,,
M5+Note,,
ZTE U807,,
SCH-P729,,
SAMSUNG-SM-N910A,三星,GALAXY Note 4
T9000,,
SM-A710L,三星,GALAXY A7
A1 Q,,
DOOV S5,,
BLN-L24,,
SM-N910T2,三星,GALAXY Note 4
HTC,,
MAQIUBIQIU,,
LG-AS993,,
P00I,,
F160,,
HTC Wildfire S A510e,,
K-Touch E8,,
Y10,,
YK5001,,
SM-T807T,三星,GALAXY Tab S 10.5
MKTEL M9,,
SM-T531,三星,GALAXY Tab 4 10.1
GEM-702L,,
C2,,
X20(X9S),,
Y62 2G,,
E910Z,,
A2,,
SM-J510L,三星,GALAXY J5
IdeaTabA5000-E,,
JXD-T9003,,
Lenovo S898t,,
TCL P618L,,
SM-P600,三星,GALAXY Note 10.1
K-Touch K7,,
P306,,
HYF-GTX,,
SAMSUNG-SM-G891A,三星,GALAXY S7 Active
E910(华丽版),,
BF_T12,,
evb3561sv_w_65_3518,,
KT-101-D  (H101),,
P98(C6V8),,
BM003,,
soaiy,,
YOORD,,
ZEEMI M6,,
SM-J700K,三星,GALAXY J7
koobee S209,,
KYD-H50,,
T20(T2E1),,
Hisense I635T,,
VK X Plus,,
\u9ea6\u67f4,,
HUAWEI C8813Q,,
SM-T285,三星,GALAXY Tab A 7.0
SM-T835C,三星,GALAXY Tab S4
Bird L802,,
SUBOR S16,,
M35t,,
TECNO Camon CX,,
UG802,,
SM-G720AX,三星,GALAXY Grand Max
vivo S11t,vivo,S11t
H60-L21,,
W970,,
L001,,
MLA-AL10,,
xksoft-Z7,,
SCH-P709E,,
HS-V102,,
CPH1719,,
M9_,,
SO-02G,,
HTC D816h,,
MLLED V9,,
lephone W9 ,,
LMCV1,,
U1205,,
K-Touch K6,,
W13,,
C101,,
GM1911,,
ZTE N818,,
SM-G610S,三星,GALAXY On7
Lexiaobao7021,,
SM-T585N0,三星,GALAXY Tab A 10.1
Duxiu Lm 6S,,
PAN-AL00,,
1802-T0,,
JM4,,
Nokia 6.1,诺基亚,6.1
FS8032,,
Lenovo K8 Note,,
S9 plus,,
Lenovo B6000-F,,
A960,,
M578CE,,
HTC E9pt,,
HUAWEI RIO-L02,,
SM-T235Y,三星,GALAXY Tab 4 7.0 Lite
PHICOMM X130va,,
ST327E,,
P80 3G四核 (B4KC),,
DATANG S62L,,
Haipainoble S19,,
GT-I9003,,
AC82XX (core x4),,
SCH-I829,,
HTC_M9u,,
X909T,,
V,,
JN-1002,,
HLA Note3 Pro,,
LeBest L9,,
CBK,,
SM-A605FN,三星,GALAXY A6 Plus
G89-2,,
YLT-X6,,
SH800,,
E9005,,
RNE-L23,,
SM-G906K,三星,GALAXY S5 Lite
TECNO P904,,
JXD-T56,,
5G,,
Lenovo A2020a40,,
Nexus 7,,
HUAWEI Y336-U02,,
SOP-N1-4G,,
F-02F,,
9300-M9,,
BAC-L23,,
ivargo 2015,,
Transformer TF101,,
ZTE S158,,
NOAIN F3,,
HS-EG980,,
P80 4G(K2G6),,
DOOV S1,,
HUAWEI D2-2010,,
X98 Air 3G(C9J8),,
ASUS_X018DC,,
U63 PLUS A,,
Raphaelin,,
AE Q1,,
Readboy_G20,,
SDM630,,
SOYES 6S,,
OWWOQ7,,
SM-T330,三星,GALAXY Tab 4
X98 Plus II (C2E3),,
ASUS_Z01KD,,
Lm 6s,,
KFARWI,,
6Ｓ,,
XT531,,
HUAWEI VNS-CL00,,
G7-L01,,
VOTO VT868,,
CP8298_I00,,
AE G20,,
ZTE N5S,,
SM-G935V,三星,GALAXY S7 Edge
BKL-L09,,
G8341,,
vivo Y622,vivo,Y622
US818,,
Lenovo PB1-770P,,
SM-G928I,三星,GALAXY S6 Edge Plus
TCL P500M,,
M7,,
AE Q3,,
K800,,
Coolpad 8712S,,
HTC_X10u,,
E18,,
HTC D820mt,,
vivo Y13i,vivo,Y13i
UOOGOU F9,,
KT-960-J,,
LYA-L09,,
SM-G9098,三星,GALAXY S5
QHYC_C103,,
HTC Desire 820 dual sim,,
conquest-S6,,
TCL P502U,,
ivvi K5-T,,
Lenovo TB-7504N,,
98(M1E4),,
东瑞升-C208,,
A1001,,
lephone F5W,,
SM-G900K,三星,GALAXY S5
SM-J500N0,三星,GALAXY J5
Edward E1,,
K109,,
Y-100,,
Lingwin 9,,
Lenovo A3900,,
SCH-I939I,,
T6,,
M63,,
Lenovo K920,,
Lenovo TB-8804F,,
Goly X6,,
HUAWEI RIO-L01,,
COMIO M7000 ,,
SM-T116,三星,GALAXY Tab 4 Lite
HWV32,,
ACTOMA ACE,,
SM-P355,三星,GALAXY Tab A
L-1000,,
VOG-L29,,
Q6 Plus,,
XIAOMIGUO,,
G4-DL,,
H188,,
FWD-100Y,,
SM-G600S,三星,GALAXY Wide
9001D,,
i7S(YP7S),,
U2,,
VS995,,
HN6205506,,
SM-J400G,三星,GALAXY J4
Venue8 3840 HSPA+,,
BLA,,
LG-AS998,,
黄金斗士S8畅玩,,
LC-1021W,,
Lenovo A616,,
Lenovo A806,,
HW-HUAWEI TIT-CL00,,
NXT-TL00,,
Temsent V1,,
OYSIN X5,,
BF_T19,,
